movie_id,Genre
413,Drama
413,Family
414,Drama
414,Romance
414,Sport
415,Animation
415,Adventure
415,Comedy
415,Family
415,Fantasy
415,Mystery
415,Sci-Fi
416,Animation
416,Adventure
416,Musical
417,Comedy
417,Romance
418,Biography
419,Action
419,Horror
419,Sci-Fi
419,Thriller
420,Biography
420,Drama
421,Drama
421,Romance
422,Drama
422,Romance
423,Comedy
424,Drama
424,Music
425,Comedy
428,Action
428,Comedy
428,Crime
428,Music
428,Musical
429,Action
429,Adventure
429,Drama
429,Sport
429,Thriller
430,Comedy
430,Game-Show
430,Reality-TV
431,Family
432,Animation
432,Adventure
432,Romance
433,Comedy
434,Comedy
434,Drama
435,Drama
435,Fantasy
435,Sci-Fi
435,Thriller
436,Animation
436,Action
436,Adventure
436,Comedy
436,Drama
436,Family
436,Fantasy
436,Sci-Fi
437,Animation
437,Adventure
437,Comedy
437,Family
437,Fantasy
438,Comedy
438,Crime
438,Thriller
439,Horror
439,Mystery
439,Thriller
440,Crime
440,Drama
440,Thriller
441,Comedy
441,Drama
442,Action
442,Drama
443,Action
443,Adventure
443,Drama
443,Sci-Fi
444,Drama
444,Romance
445,Short
445,Horror
445,Sci-Fi
445,Thriller
446,Short
446,Comedy
446,Drama
446,Fantasy
447,Action
447,Crime
447,Drama
448,Comedy
448,Drama
448,Thriller
449,Comedy
449,Crime
449,Drama
449,Romance
449,Thriller
450,Action
450,Crime
450,Drama
451,Action
451,Adventure
451,Fantasy
451,Horror
451,Mystery
452,Reality-TV
453,Animation
453,Action
453,Family
453,Fantasy
454,Animation
454,Family
454,Fantasy
455,Drama
456,Drama
456,Fantasy
456,Mystery
457,Adventure
457,Drama
458,Drama
458,Fantasy
458,Romance
459,Comedy
459,Drama
459,Sport
460,Drama
461,Crime
461,Drama
461,Mystery
461,Thriller
462,Comedy
463,Comedy
464,Comedy
464,Sport
465,Comedy
466,Horror
467,Drama
467,Romance
468,Drama
468,Romance
469,Comedy
469,Romance
471,Comedy
471,Drama
472,Action
472,Crime
472,Romance
473,Crime
473,Horror
473,Mystery
473,Sci-Fi
474,Comedy
474,Drama
475,Action
476,Comedy
477,Biography
