movie_id,Languages
1234,English
1235,English
1236,English
1236,Arabic
1237,Hindi
1238,English
1238,Dinka
1239,English
1240,German
1240,Romany
1241,English
1241,German
1241,French
1242,German
1243,Serbian
1244,English
1245,Italian
1245,English
1246,Korean
1247,Korean
1248,Thai
1249,English
1249,Sanskrit
1251,Arabic
1253,Mandarin
1254,English
1255,English
1256,English
1256,French
1257,Filipino
1257,Tagalog
1257,English
1258,Filipino
1258,Tagalog
1259,English
1260,English
1260,Latin
1261,Russian
1262,English
1263,English
1264,French
1265,French
1265,Arabic
1265,English
1266,Arabic
1267,Arabic
1267,English
1268,Arabic
1269,Arabic
1270,Arabic
1270,French
1271,English
1272,Arabic
1272,Swedish
1273,English
1274,Arabic
1274,French
1275,Arabic
1276,Arabic
1277,Arabic
1278,Korean
1279,None
1280,Korean
1280,English
1281,Spanish
1282,English
1283,English
1284,English
1285,English
1286,Korean
1287,English
1288,Bengali
1288,English
1289,English
1291,English
1292,English
1293,English
1294,English
1294,Filipino
1295,English
1296,Hungarian
1297,Hungarian
1297,German
1297,Russian
1298,Portuguese
1298,French
1299,English
1300,English
1301,Spanish
1302,Hindi
1303,Korean
1303,English
1303,Thai
1304,Mandarin
1305,Hindi
1305,English
1306,Telugu
1307,Spanish
1308,English
1309,English
1310,English
1311,Hindi
1313,German
1314,English
1314,French
1314,German
1315,English
1316,Korean
1319,Czech
1320,Czech
1321,Czech
1322,French
1323,Russian
1324,English
1325,English
1325,Spanish
1326,English
1326,French
1327,French
1328,English
1328,Japanese
1330,Japanese
1331,English
1331,Spanish
1333,English
1334,Japanese
1335,English
1336,English
1337,English
1338,English
1339,German
1340,English
1341,French
1341,English
1342,English
1343,English
1343,Hindi
1344,English
1344,Spanish
1345,English
1346,English
1348,English
1350,English
1351,Spanish
1352,English
1353,English
1353,French
1354,Romanian
1355,Greek
1356,Malay
1357,English
1358,English
1359,English
1360,German
1361,English
1362,English
1364,English
1365,English
1366,Korean
1367,English
1367,French
1369,English
1369,Sanskrit
1370,English
1371,English
1372,Hindi
1373,Norwegian
1373,English
1374,English
1375,English
1376,English
1376,Nama
1377,English
1378,Hindi
1379,Korean
1380,English
1381,None
1381,English
1382,French
1383,Italian
1383,English
1383,French
1384,Kurdish
1384,Persian
1384,Turkish
1384,English
1386,English
1387,English
1388,Polish
1389,English
1390,English
1391,Greek
1392,English
1393,English
1394,Spanish
1395,Hungarian
1396,English
1400,English
1401,English
1402,English
1403,English
1404,Japanese
1405,English
1406,English
1407,English
1408,English
1409,English
1410,Polish
1411,English
1412,English
1413,English
1414,English
1415,English
1416,Mandarin
1417,English
1418,English
1419,Spanish
1420,Bengali
1421,Hindi
1422,English
1422,Hindi
1423,English
1423,Italian
1424,English
1425,French
1426,English
1427,Arabic
1428,Hindi
1428,English
1429,Tamil
1429,Telugu
1430,English
1431,English
1432,French
1433,Polish
1433,German
1435,English
1436,English
1437,English
1437,Afrikaans
1438,Urdu
1439,English
1440,Korean
1441,Korean
1442,Korean
1443,English
1443,French
1443,Latin
1443,Arabic
1444,Korean
1445,Korean
1446,Korean
1447,Korean
1448,Korean
1449,English
1450,English
1450,Serbo-Croatian
1450,Mandarin
1450,French
1451,English
1452,Hindi
1453,English
1454,English
1455,English
1456,Spanish
1457,English
1458,Spanish
1459,Malayalam
1460,English
1461,Spanish
1462,English
1463,Czech
1464,Czech
1465,Czech
1466,Czech
1467,Czech
1468,Czech
1469,Slovak
1470,English
1470,German
1471,Arabic
1472,Marathi
1473,Indonesian
1474,Malayalam
1475,Spanish
1476,Marathi
1477,Gujarati
1477,Hindi
1478,Malayalam
1479,French
1479,Wolof
1479,Arabic
1479,Spanish
1479,English
1480,English
1481,English
1482,Marathi
1483,Marathi
1484,Hungarian
1485,Hungarian
1485,English
1486,German
1486,Hungarian
1487,Hungarian
1488,Hungarian
1489,Hungarian
1490,None
1491,English
1492,Hungarian
1492,French
1493,Hungarian
1494,Spanish
1496,Hungarian
1497,English
1497,Aboriginal
1499,English
1500,Korean
1501,English
1503,English
1503,Tagalog
1503,Russian
1504,English
1505,English
1506,English
1506,Spanish
1506,Italian
1506,French
1506,SwissGerman
1506,German
1507,English
1507,Spanish
1507,Catalan
1508,English
1509,English
1510,English
1511,English
1515,Japanese
1517,Indonesian
1517,English
1518,Spanish
1519,English
1520,English
1521,English
1522,English
1523,Tamil
1523,Hokkien
1523,English
1524,Hokkien
1524,English
1524,Cantonese
1525,Mandarin
1525,Cantonese
1525,Hokkien
1525,English
1526,Malay
1527,French
1527,English
1528,English
1528,Swedish
1528,Russian
1529,Danish
1529,Swedish
1530,Swedish
1531,Indonesian
1532,Japanese
1533,Japanese
1534,Swedish
1535,Swedish
1535,English
1535,Danish
1536,English
1537,Mandarin
1537,Chinese
1538,Japanese
1539,Japanese
1540,Japanese
1541,Japanese
1543,Japanese
1543,English
1544,English
1546,English
1547,Japanese
1548,Indonesian
1550,English
1551,Japanese
1552,Japanese
1553,English
1554,English
1556,English
1556,Mandarin
1556,Cantonese
1557,English
1557,French
1558,Japanese
1559,Japanese
1560,English
1560,Mandarin
1561,Japanese
1562,Japanese
1563,Japanese
1564,Japanese
1564,Latin
1565,Mandarin
1565,English
1565,Hokkien
1565,Malay
1566,English
1566,Korean
1566,French
1567,Japanese
1568,Portuguese
1569,Tamil
1570,English
1570,Korean
1570,Japanese
1570,Thai
1570,Malay
1570,Cantonese
1570,Mandarin
1571,Thai
1571,English
1572,Thai
1573,Spanish
1574,English
1576,Thai
1577,Italian
1577,French
1577,English
1578,Indonesian
1579,Turkish
1580,Indonesian
1581,English
1582,Italian
1583,English
1584,Mandarin
1585,Indonesian
1586,English
1587,English
1587,German
1587,Russian
1587,French
1587,Spanish
1588,English
1589,English
1589,Russian
1589,French
1590,English
1591,English
1591,Sanskrit
1592,English
1593,English
1593,Polish
1593,Russian
1593,German
1594,Korean
1594,English
1595,Portuguese
1596,German
1597,English
1597,Spanish
1598,English
1599,English
1600,English
1601,English
1602,English
1603,English
1603,German
1605,Hindi
1606,Spanish
1606,German
1607,French
1608,Spanish
1608,Italian
1609,English
1609,Spanish
1610,Vietnamese
1611,Indonesian
1612,German
1613,Hungarian
1613,English
1613,German
1614,English
1614,Russian
1615,English
1616,English
1617,English
1618,English
1619,English
1620,Polish
1621,Polish
1622,English
1623,English
1624,English
1625,English
1626,English
1626,Spanish
1627,English
1628,English
1629,English
1630,English
1631,English
1632,English
1632,Algonquin
1632,Inuktitut
1633,English
1634,Malayalam
1635,Portuguese
1636,Portuguese
1636,English
1637,English
1638,Hindi
1639,Spanish
1640,English
1641,English
1642,Turkish
1643,Chinese
1644,Japanese
1645,English
1647,English
1648,English
1649,Hindi
1649,Gujarati
1649,English
1650,English
1651,French
1652,English
1653,English
1654,English
1654,Russian
1655,Tagalog
1655,Filipino
1656,Hindi
1656,English
1657,English
1657,Mandarin
1658,English
1659,English
1660,English
1661,Spanish
1662,English
1663,English
1664,English
1665,German
1666,Spanish
1667,English
1668,English
1668,Persian
1669,English
1671,English
1672,Korean
1673,English
1674,Czech
1674,Vietnamese
1675,English
1675,Arabic
1676,Czech
1676,Slovak
1679,Korean
1679,Japanese
1680,Korean
1681,Korean
1681,Mandarin
1682,Korean
1683,Korean
1684,Korean
1684,Latin
1685,English
1685,Hungarian
1685,French
1685,Korean
1686,Portuguese
1687,Hindi
1688,English
1689,English
1690,Mandarin
1691,German
1693,French
1693,Italian
1693,English
1694,English
1695,French
1695,Arabic
1696,Hindi
1697,English
1697,Ibo
1698,English
1699,English
1700,English
1701,Spanish
1702,Turkish
1702,English
1703,English
1704,Mandarin
1704,Japanese
1704,English
1705,English
1706,English
1707,English
1709,English
1710,English
1711,Arabic
1713,Japanese
1714,Japanese
1716,Japanese
1717,English
1718,Japanese
1720,Japanese
1721,English
1722,English
1723,English
1724,English
1725,English
1726,German
1727,English
1728,Indonesian
1729,Indonesian
1730,Indonesian
1731,Indonesian
1732,Indonesian
1733,Indonesian
1735,English
1736,Bengali
1736,Hindi
1736,English
1737,Russian
1737,Spanish
1738,Tagalog
1738,Filipino
1739,English
1740,English
1741,English
1742,Czech
1743,Czech
1744,French
1745,English
1745,Spanish
1745,Hebrew
1745,Arabic
1747,English
1748,English
1749,English
1750,Portuguese
1751,English
1752,English
1753,English
1754,Japanese
1755,French
1756,English
1757,English
1757,Czech
1757,Russian
1757,Greek
1757,Afrikaans
1758,English
1759,French
1760,Mandarin
1762,Chinese
1763,English
1763,Spanish
1764,Korean
1764,Japanese
1765,Cantonese
1765,Mandarin
1765,English
1766,Japanese
1767,Japanese
1768,Japanese
1769,English
1770,English
1770,Spanish
1770,Hindi
1771,Mandarin
1772,English
1772,Italian
1773,English
1773,Mandarin
1773,Hokkien
1774,Mandarin
1775,English
1775,Hokkien
1775,Mandarin
1776,Cantonese
1776,English
1776,Hokkien
1776,Mandarin
1777,Chinese
1778,Malay
1779,Mandarin
1779,English
1779,Hokkien
1781,English
1782,Mandarin
1783,Mandarin
1783,Hokkien
1783,English
1783,Cantonese
1784,Mandarin
1785,Malay
1785,Indonesian
1786,English
1787,Hokkien
1787,Mandarin
1788,English
1788,Mandarin
1788,Tamil
1788,Malay
1789,English
1790,Mandarin
1791,Chinese
1792,Mandarin
1793,Mandarin
1793,Hokkien
1793,English
1793,Cantonese
1794,English
1794,Mandarin
1794,Tagalog
1794,Hokkien
1794,Cantonese
1794,Malay
1795,English
1795,Mandarin
1796,Mandarin
1797,Mandarin
1797,Hokkien
1798,English
1798,Chinese
1799,Mandarin
1799,MinNan
1801,Chinese
1802,Hokkien
1802,Mandarin
1803,Mandarin
1804,Italian
1805,English
1806,Swedish
1806,French
1807,English
1807,French
1807,Russian
1808,Swedish
1809,German
1810,English
1811,English
